Руслан Усачев,UCDaIW2zPRWhzQ9Hj7a0QP1w,,,
video id,video title,views count,COMPANY,LINK
eTeBjUxy0w4,"КРУИЗ ЗА $40 000 – СЕВЕРНЫЙ ПОЛЮС // Ледокол ""50 лет Победы""",8595677,usachev.shop,http://usachev.shop/
eTeBjUxy0w4,"КРУИЗ ЗА $40 000 – СЕВЕРНЫЙ ПОЛЮС // Ледокол ""50 лет Победы""",8595677,Go Travel Un Limited (Hong Kong),https://www.aviasales.ru/poravalit
eTeBjUxy0w4,"КРУИЗ ЗА $40 000 – СЕВЕРНЫЙ ПОЛЮС // Ледокол ""50 лет Победы""",8595677,kirsworkshop.ru,https://kirsworkshop.ru/
v7ZHM3SbvLg,ОСТРЫЙ ПЕРЕЦ И КРОКОДИЛ [Горячие Игры],7121991,usachev.shop,http://usachev.shop/
v7ZHM3SbvLg,ОСТРЫЙ ПЕРЕЦ И КРОКОДИЛ [Горячие Игры],7121991,klikklak.ru,https://www.youtube.com/klikklak
JBjFZD2YyHc,Круиз на лайнере – ПЛОХАЯ ИДЕЯ!,4861073,usachev.shop,http://usachev.shop/
Ie2qo2Hpw9M,ГОРЯЧИЕ ИГРЫ – ПЛОХИЕ АНЕКДОТЫ,4639111,usachev.shop,http://usachev.shop/
JBBvQrKnJpI,На пятьдесят оттенков [Kate Clapp и Руслан Усачев],4558102,usachev.shop,http://usachev.shop/
CtcrNMpCaIc,"ВЫЧИСЛИЛ, СКОЛЬКО БУДЕТ ЖИТЬ ПУТИН!",3614726,usachev.shop,http://usachev.shop/
1xkyllL6DPU,НОРИЛЬСК. Самый грязный город России  [Пора Валить],3257201,AO Tinkoff Bank,tinkoff.ru
1xkyllL6DPU,НОРИЛЬСК. Самый грязный город России  [Пора Валить],3257201,usachev.shop,http://usachev.shop/
1xkyllL6DPU,НОРИЛЬСК. Самый грязный город России  [Пора Валить],3257201,kirsworkshop.ru,https://kirsworkshop.ru/
0cNgip4Re-E,КУПИЛ НАУШНИКИ ТИМАТИ BlackStar Click'n'Play,3087728,usachev.shop,http://usachev.shop/
cfCnr9Ke9NY,ШОКИРУЮЩАЯ ЯПОНИЯ [Пора Валить в Токио!],2793689,aviaseils.ru,https://i.avs.io/c5xoto
cfCnr9Ke9NY,ШОКИРУЮЩАЯ ЯПОНИЯ [Пора Валить в Токио!],2793689,usachev.shop,http://usachev.shop/
cfCnr9Ke9NY,ШОКИРУЮЩАЯ ЯПОНИЯ [Пора Валить в Токио!],2793689,kirsworkshop.ru,https://kirsworkshop.ru/
I-f-apMqyec,Проверил РОСТ ЦЕН в России за 13 лет// Реальная инфляция рубля,2664343,usachev.shop,http://usachev.shop/
_u9WLwwYkbI,Отдал 100 000 за лого от Нейросети Студии Лебедева. Получил ЭТО...,2550133,usachev.shop,http://usachev.shop/
S1ch98bXFzw,"РОССИЯ — СЕВЕРНАЯ КОРЕЯ // Граница, которую ненавидит Китай",2415278,usachev.shop,http://usachev.shop
S1ch98bXFzw,"РОССИЯ — СЕВЕРНАЯ КОРЕЯ // Граница, которую ненавидит Китай",2415278,Go Travel Un Limited (Hong Kong),https://www.aviasales.ru/poravalit
ck5IRb4f3dg,ПОРА ВАЛИТЬ В КИЕВ!,2288499,"Domains By Proxy, LLC",http://go.italki.com/usachev
m85ITkjlojk,Главный минус Казахстана! [Пора Валить],2259360,Plarium Global Ltd,https://clik.cc/0A1E2
m85ITkjlojk,Главный минус Казахстана! [Пора Валить],2259360,usachev.shop,https://usachev.shop/
m85ITkjlojk,Главный минус Казахстана! [Пора Валить],2259360,Go Travel Un Limited (Hong Kong),https://poravalit.aviasales.ru/
m85ITkjlojk,Главный минус Казахстана! [Пора Валить],2259360,"Domains By Proxy, LLC",https://clik.cc/a4rk4
fHBU1uEgLWY,САМАЯ ГРЯЗНАЯ СТРАНА [Пора Валить - ИНДИЯ],2174184,aviaseils.ru,https://avs.io/poravalit
fHBU1uEgLWY,САМАЯ ГРЯЗНАЯ СТРАНА [Пора Валить - ИНДИЯ],2174184,kirsworkshop.ru,https://kirsworkshop.ru/
YD6i4UzxnHQ,"Страна, где остановилось время [Пора валить на Кубу!]",2149224,AO Tinkoff Bank,tinkoff.ru
ZuXd6ufjT94,Пора валить– Грузия!,1919958,aviaseils.ru,http://avs.io/qli5
ZuXd6ufjT94,Пора валить– Грузия!,1919958,kirsworkshop.ru,https://kirsworkshop.ru/
PO090-xTmyQ,"""УДАЧНЫЙ"" ДУБЛИН [Пора Валить - Ирландия]",1894035,Go Travel Un Limited (Hong Kong),https://www.aviasales.ru/poravalit
PO090-xTmyQ,"""УДАЧНЫЙ"" ДУБЛИН [Пора Валить - Ирландия]",1894035,kirsworkshop.ru,https://kirsworkshop.ru/
LoZptmCVePk,ВО ЧТО ПРЕВРАТИЛАСЬ ЧЕРНОГОРИЯ! [Пора Валить],1786627,usachev.shop,https://usachev.shop/
LoZptmCVePk,ВО ЧТО ПРЕВРАТИЛАСЬ ЧЕРНОГОРИЯ! [Пора Валить],1786627,Go Travel Un Limited (Hong Kong),https://poravalit.aviasales.ru/
qz5TqGhhk4w,Русская Америка [Пора Валить в Нью-Йорк],1758885,Go Travel Un Limited (Hong Kong),http://www.aviasales.ru
DSXjcfKCeSw,"ПОРА ВАЛИТЬ – ПОЛЬША! Варшава, Краков, Освенцим",1710156,aviaseils.ru,https://i.avs.io/mqrgpe
78-Itd_RE-c,Я послушал ВСЕ песни Тимати. И вот что понял...,1707750,klikklak.shop,https://vk.cc/9x8cxQ
eyIuWr1XsBo,ПОРА ВАЛИТЬ В ДУБАЙ!,1698769,OANO DPO SKYENG,https://go.sky.pro/pora_valit
eyIuWr1XsBo,ПОРА ВАЛИТЬ В ДУБАЙ!,1698769,usachev.shop,https://usachev.shop/
